,Helwan,AinHelwan,HelwanUni,WadiHouf,HelwanGardens,Maasra,ToraCement,Kozzika,Tora,Sakanat,Maadi,MaadiGardens,DarSalam,Zahraa,MarGirges,MalakSaleh,Sayda,Zaghloul,Sadat,Nasser,Orabi,Shohda,Ghamra,Demerdash,Sadr,Quba,Hamamat,Saray,Zaitoon,Helmia,Matarya,AinShams,EzbetNakhl,Marg,NewMarg
Helwan,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AinHelwan,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HelwanUni,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WadiHouf,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HelwanGardens,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maasra,0.12,0.12,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ToraCement,0.24,0.24,0.24,0.24,0.24,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kozzika,0.46,0.46,0.46,0.46,0.46,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tora,0.83,0.83,0.83,0.83,0.83,0.46,0.46,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sakanat,1.41,1.41,1.41,1.41,1.41,0.83,0.83,0.46,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maadi,4.76,4.76,4.76,4.76,4.76,1.41,1.41,0.83,0.46,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MaadiGardens,7.00,7.00,7.00,7.00,7.00,4.76,4.76,1.41,0.83,2.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DarSalam,6.84,6.84,6.84,6.84,6.84,7.00,7.00,4.76,1.41,0.00,0.46,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zahraa,6.30,6.30,6.30,6.30,6.30,6.84,6.84,7.00,4.76,2.00,0.83,1.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MarGirges,2.25,2.25,2.25,2.25,2.25,6.30,6.30,6.84,7.00,1.00,1.41,0.60,0.46,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MalakSaleh,3.37,3.37,3.37,3.37,3.37,2.25,2.25,6.30,6.84,4.76,4.76,0.50,0.83,0.46,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sayda,6.20,6.20,6.20,6.20,6.20,3.37,3.37,2.25,6.30,5.00,7.00,1.00,1.41,0.83,0.46,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zaghloul,4.76,4.76,4.76,4.76,4.76,6.20,6.20,3.37,2.25,6.00,6.84,3.00,4.76,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sadat,10.07,10.07,10.07,10.07,11.00,12.00,11.00,11.00,10.00,13.00,13.00,12.00,12.00,14.00,15.00,15.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nasser,9.17,9.17,9.17,9.17,9.17,10.07,10.07,4.76,6.20,2.25,2.25,7.00,7.00,7.00,2.00,2.00,2.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Orabi,8.07,8.07,8.07,8.07,8.07,9.17,9.17,10.07,4.76,3.37,3.37,6.30,6.30,6.84,3.00,3.00,3.00,3.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shohda,10.39,10.39,10.39,10.39,10.39,11.00,9.00,10.00,12.00,12.00,11.00,13.00,13.00,6.30,14.00,14.00,14.00,14.00,31.00,25.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ghamra,6.84,6.84,6.84,6.84,6.84,5.00,5.00,8.07,6.00,4.76,4.76,4.00,4.00,2.25,7.00,7.00,7.00,7.00,4.00,5.00,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Demerdash,3.37,3.37,3.37,3.37,3.37,4.00,6.84,7.00,8.07,6.00,6.00,6.00,6.00,3.37,5.00,5.00,5.00,5.00,5.00,6.00,6.00,7.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sadr,2.25,2.25,2.25,2.25,2.25,3.37,3.37,6.84,7.00,7.00,7.00,5.00,5.00,6.20,6.00,6.00,6.00,6.00,6.00,7.00,7.00,8.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Quba,1.41,1.41,1.41,1.41,1.41,2.25,2.25,3.37,6.84,6.00,8.07,6.00,6.00,4.76,2.00,2.00,2.00,2.00,5.00,6.00,8.00,8.00,14.00,15.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hamamat,0.83,0.83,0.83,0.83,0.83,1.41,1.41,2.25,3.00,5.00,8.00,7.00,7.00,8.00,4.00,4.00,4.00,4.00,4.00,4.00,8.00,9.00,10.00,7.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saray,0.46,0.46,0.46,0.46,0.46,0.83,0.83,1.41,2.00,6.84,6.84,8.00,8.00,9.17,6.00,6.00,6.00,6.00,4.00,4.00,9.00,9.00,15.00,17.00,10.00,3.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zaitoon,0.24,0.24,0.24,0.24,0.24,0.46,0.46,0.83,1.41,3.37,3.37,5.00,5.00,8.07,5.00,5.00,5.00,5.00,5.00,6.00,9.00,9.00,7.00,9.00,6.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Helmia,0.12,0.12,0.12,0.12,0.12,0.24,0.24,0.46,0.83,2.25,2.25,4.00,4.00,7.00,8.00,8.00,8.00,8.00,4.00,5.00,9.00,9.00,8.00,8.00,8.00,12.00,12.70,13.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
Matarya,0.05,0.05,0.05,0.05,0.05,0.12,0.12,0.24,0.00,1.00,1.41,3.00,3.00,6.84,4.00,4.00,4.00,4.00,5.00,6.00,8.00,8.00,7.00,5.00,9.00,13.00,13.00,13.00,15.00,20.00,0.00,0.00,0.00,0.00,0.00
AinShams,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.12,1.00,1.00,0.83,3.00,3.00,3.37,7.00,7.00,7.00,7.00,6.00,7.00,8.00,8.00,11.00,20.00,20.00,15.00,15.00,15.00,15.00,20.00,25.00,0.00,0.00,0.00,0.00
EzbetNakhl,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,1.00,1.00,0.46,2.00,2.00,2.25,5.00,5.00,5.00,5.00,5.00,6.00,7.00,7.00,8.00,4.00,12.00,16.00,17.06,17.00,17.00,20.00,25.00,35.00,0.00,0.00,0.00
Marg,1.09,1.09,1.09,1.09,1.09,0.01,0.01,0.02,0.00,0.00,0.24,1.00,1.00,1.41,4.00,4.00,4.00,4.00,4.00,4.00,7.00,7.00,6.00,5.00,14.00,17.00,20.00,20.00,20.00,20.00,25.00,35.00,50.00,0.00,0.00
NewMarg,1.08,1.08,1.08,1.08,1.08,1.09,1.09,0.01,0.00,0.00,0.12,1.00,1.00,0.83,3.00,3.00,3.00,3.00,4.00,4.00,5.00,5.00,5.00,6.00,7.00,18.00,18.00,18.00,18.00,20.00,25.00,30.00,50.00,100.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
